condicion,rol,persona_score,rag_score,bdi_score,estabilidad_rol,autenticidad_lexica,autenticidad_emocional,goal_directedness,tactical_consistency,factual_grounding,answer_relevance
A — Baseline,tercero,4.308,,,5.0,2.692,4.308,5.0,5.0,3.846,5.0
A — Baseline,victima,4.141,,,5.0,2.308,4.154,5.0,4.077,4.308,4.385
A — Baseline,victimario,4.385,,,5.0,3.923,4.692,5.0,4.846,2.846,3.846
C — BDI only,tercero,4.359,,4.769,5.0,3.231,4.077,5.0,4.769,4.077,5.0
C — BDI only,victima,4.154,,4.462,5.0,2.0,4.538,5.0,4.154,4.25,4.692
C — BDI only,victimario,4.319,,4.833,5.0,4.0,4.417,5.0,4.667,2.833,4.25
D — BDI+RAG,tercero,4.615,0.718,4.923,5.0,3.692,4.692,5.0,4.692,4.615,4.923
D — BDI+RAG,victima,4.487,0.66,4.692,5.0,3.154,4.692,5.0,4.615,4.462,4.923
D — BDI+RAG,victimario,4.423,0.611,4.885,5.0,4.538,4.538,5.0,4.615,2.846,4.077
B — RAG only,tercero,4.462,0.663,,5.0,3.538,4.462,5.0,4.923,3.846,4.923
B — RAG only,victima,4.5,0.623,,5.0,2.923,4.615,5.0,4.769,4.692,5.0
B — RAG only,victimario,4.628,0.674,,5.0,4.538,4.615,5.0,4.846,3.769,4.462
